ID,Nacionalidad,Tipo de Sonido,Jugadores,Fichas,Salon,Juego
122,Portugal,ESTEREO,3,212,Salon 1,Virtua Cop
129,Peru,ESTEREO,2,844,Salon 3,Virtua Cop
190,Philippines,ESTEREO,3,750,Salon 4,Virtua Cop
216,Indonesia,MONO,2,232,Salon Retro,Virtua Cop
236,Bulgaria,MONO,4,942,Salon VR,Virtua Cop
253,China,MONO,5,660,Salon 1,Virtua Cop
282,Malaysia,MONO,4,842,Salon 1,Virtua Cop
307,Sweden,MONO,2,758,Salon 3,Virtua Cop
314,Indonesia,ESTEREO,2,290,Salon 4,Virtua Cop
345,United States,ESTEREO,1,838,Salon Carreras,Virtua Cop
357,Comoros,MONO,2,696,Salon Carreras,Virtua Cop
358,Costa Rica,ESTEREO,4,966,Salon Carreras,Virtua Cop
373,Russia,ESTEREO,2,594,Salon 2,Virtua Cop
394,Brazil,MONO,5,390,Salon 6,Virtua Cop
407,Poland,MONO,2,430,Salon VR,Virtua Cop
486,Netherlands,ESTEREO,2,326,Salon 2021,Virtua Cop
